name,nick,birth_date,height,weight,association,class,locality,country
Ricardo Lamas,The Bully,5/21/1982,68,145,MMA Masters,Featherweight,"Chicago, Illinois",United States
Kenny Florian,KenFlo,5/26/1976,70,145,Florian Martial Arts Center,Featherweight,"Westwood, Massachusetts",United States
Frankie Edgar,The Answer,10/16/1981,66,145,Ricardo Almeida Jiu-Jitsu,Featherweight,"Toms River, New Jersey",United States
Mark Hominick,The Machine,7/22/1982,68,145,Team Tompkins,Featherweight,"London, Ontario",Canada
Michihiro Omigawa,Michi,12/19/1975,66,145,Neo Judo Academy,Featherweight,Ibaraki,Japan
Darren Elkins,The Damage,5/16/1984,70,145,Duneland Vale Tudo,Featherweight,"Hobart, Indiana",United States
Nik Lentz,The Carny,8/13/1984,68,145,American Top Team,Featherweight,"St. Paul, Minnesota",United States
Javier Vazquez,Showtime,7/16/1977,67,145,Gracie Jiu-Jitsu,Featherweight,"Pomona, California",United States
Erik Koch,New Breed,10/4/1988,70,145,Roufusport,Featherweight,"Cedar Rapids, Iowa",United States
Pablo Garza,The Scarecrow,9/16/1983,73,145,Academy of Combat Arts,Featherweight,"Fargo, North Dakota",United States
Jason Young,Shotgun,6/28/1986,69,145,American Top Team,Featherweight,London,England
Tatsuya Kawajiri,Crusher,5/8/1978,67,145,T-Blood,Featherweight,"Inashiki, Ibaraki",Japan
Hacran Dias,Barnabe,5/16/1984,68,145,Nova Uniao,Featherweight,Rio de Janeiro,Brazil
Charles Rosa,Boston Strong,8/24/1986,70,145,American Top Team,Featherweight,"Peabody, Massachusetts",United States
Diego Nunes,The Gun,11/30/1982,66,145,X-Gym,Featherweight,"Caxias do Sul, Rio Grande do Sul",Brazil
B.J. Penn,The Prodigy,12/13/1978,69,145,BJ Penn's MMA,Featherweight,"Hilo, Hawaii",United States
Tom Niinimaki,Stoneface,7/25/1982,69,145,Finnfighters Gym,Featherweight,Turku,Finland
Maximo Blanco,Maxi,10/16/1983,68,145,Yoshida Dojo,Featherweight,Caracas,Venezuela
Jim Hettes,The Kid,6/9/1987,69,145,Northeast Jiu-Jitsu,Featherweight,"Swoyersville, Pennsylvania",United States
Stephen Bass,Bigfish,11/14/1982,69,145,Mad House Gym,Featherweight,"Shreveport, Louisiana",United States
Dennis Bermudez,The Menace,12/13/1986,66,145,Long Island MMA,Featherweight,"Saugerties, New York",United States
Joey Gambino,The Raging Warrior,10/26/1988,67,145,Team Raging Warriors,Featherweight,"Saugerties, New York",United States
Brian Ortega,T-City,2/21/1991,69,145,Black House,Featherweight,"Torrance, California",United States
Chas Skelly,The Scrapper,5/11/1985,71,145,Team Takedown,Featherweight,"Keller, Texas",United States
Andre Fili,Touchy,6/25/1990,70,145,Team Alpha Male,Featherweight,"Sacramento, California",United States
Clay Collard,Cassius,3/10/1993,71,145,The Pit Elevated Fight Team,Featherweight,"Price, Utah",United States
Justin Lawrence,The American Kid,5/15/1990,68,145,Power MMA,Featherweight,"Pacific, Missouri",United States
Charles Oliveira,do Bronx,10/17/1989,71,145,Macaco Gold Team,Featherweight,"Guaruja, Sao Paulo",Brazil
Pat Schilling,Thrilling,8/28/1988,68,145,Ambition Training Academy,Featherweight,"St. Paul, Minnesota",United States
Leonard Garcia,Bad Boy,7/14/1979,69,145,Jackson-Wink MMA,Featherweight,"Plainview, Texas",United States
Cole Miller,Magrinho,4/26/1984,73,145,American Top Team,Featherweight,"Augusta, Georgia",United States
Leigh Remedios,Bulldog,1/13/1976,67,145,Team Quannum,Featherweight,Hudderfield,England
Masio Fullen,Lobo,10/6/1987,70,145,Alliance MMA,Featherweight,"Gudalajara, Jalisco",Mexico
Teruto Ishihara,Yashabo,7/23/1991,67,145,Chokushinkai,Featherweight,Osaka,Japan
Julian Erosa,Juicy J,7/31/1989,72,145,Yakima MMA,Featherweight,"Yakima, Washington",United States
Alvin Robinson,Kid,7/16/1982,69,145,Grudge Training Center,Featherweight,"Denver, Colorado",United States
Eiji Mitsuoka,The Heaven-Sent Child of the Cage,1/1/1976,67,145,Wajyutsu Keisyukai RJW,Featherweight,"Handa, Aichi",Japan
Phillipe Nover,Super,2/3/1984,69,145,Team Renzo Gracie,Featherweight,"Brooklyn, New York",United States
Matt Grice,The Real One,7/29/1981,68,145,R-1 MMA,Featherweight,"Harrah, Oklahoma",United States
Bart Palaszewski,Bartimus,5/30/1983,69,145,Team Curran,Featherweight,"Crystal Lake, Illinois",United States
Mizuto Hirota,Pugnus,5/5/1981,67,145,Cave,Featherweight,"Isahaya, Nagasaki",Japan
Milton Vieira,Miltinho,10/4/1978,72,145,Rio Fighters,Featherweight,"Rio de Janeiro, Rio de Janeiro",Brazil
Robbie Peralta,Problems,3/14/1986,68,145,Team Xplode MMA,Featherweight,"Escondido, California",United States
Lucas Martins,Mineiro,11/11/1988,72,145,Chute Boxe,Featherweight,"Montes Claros, Minas Gerais",Brazil
Chris Gruetzemacher,Gritz,6/16/1986,67,145,MMA Lab,Featherweight,"Glendale, Arizona",United States
Makwan Amirkhani,Mr. Finland,11/8/1988,71,145,Allstars Training Center,Featherweight,Turku,Finland
Gabriel Benitez,Moggly,6/15/1988,68,145,Entram Gym,Featherweight,"Tijuana, Baja California",Mexico
John Gunderson,Guns,1/5/1979,69,145,Syndicate MMA,Featherweight,"Houston, Texas",United States
Mike Wilkinson,The Warrior,9/15/1987,68,145,Atherton Submission Wrestling,Featherweight,"Leigh, Wigan",England
Antonio Carvalho,Pato,5/30/1979,68,145,Bruckmann Martial Arts,Featherweight,"Toronto, Ontario",Canada
Roli Delgado,The Crazy Cuban,11/22/1981,75,145,Westside Fight Team,Featherweight,"San Diego, California",United States
Ramiro Hernandez,Junior,7/22/1986,69,145,Miletich Fighting Systems,Featherweight,"Muscatine, Iowa",United States
David Baron,K-Rod,,71,145,Pellegrino MMA,Featherweight,"Bricktown, New Jersey",United States
Eddie Yagin,The Filipino Phenom,3/23/1979,66,145,Kong Submission Academy,Featherweight,"Honolulu, Hawaii",United States
Cameron Dollar,The Money Man,5/12/1987,71,145,Colorado Fight Factory,Featherweight,"Colorado Springs, Colorado",United States
Rodolfo Rubio Perez,Fito,1/29/1987,65,145,Entram Gym,Featherweight,"Mexico City, Federal District",Mexico
Anistavio Medeiros de Figueiredo,Gasparzinho,5/1/1988,67,145,Pitbull Brothers,Featherweight,"Natal, Rio Grande do Norte",Brazil
Jim Alers,The Beast,10/14/1986,69,145,Tough as Nails MMA,Featherweight,"Orlando, Florida",United States
Damon Jackson,The Leech,8/8/1988,71,145,Octagon MMA,Featherweight,"Dallas, Texas",United States
Tommy Hayden,Wild Card,3/11/1986,69,145,Team Jorge Gurgel,Featherweight,"Cincinnati, Ohio",United States
Juan Manuel Puig,Fenix,4/23/1989,69,145,American Kickboxing Academy,Featherweight,"Mexico City, Federal District",Mexico
Mackens Semerzier,Mack da Menace,11/3/1980,69,145,Team Curran,Featherweight,"Virginia Beach, Virginia",United States
Fernando Bruno,Acougueiro,2/24/1982,66,145,Nova Uniao,Featherweight,"Rio de Janeiro, Rio de Janeiro",Brazil
Renato Carneiro,Moicano,,71,145,Constrictor Team,Featherweight,"Brasilia, Federal District",Brazil
Godofredo Castro,Pepey,7/2/1987,67,145,Evolucao Thai,Featherweight,"Fortaleza, Ceara",Brazil
Rony Mariano Bezerra,Jason,3/21/1984,67,145,Evolucao Thai,Featherweight,"Mossoro, Rio Grande do Norte",Brazil
Donny Walker,Eagle Eye,1/4/1980,69,145,GriffonRawl Thaiboxing & MMA Academy,Featherweight,"Cleveland, Ohio",United States
Edimilson Souza,Kevin,10/17/1984,72,145,DS Team,Featherweight,"Salvador, Bahia",Brazil
Tiequan Zhang,The Wolf,7/25/1978,69,145,China Top Team,Featherweight,Beijing,China
Daniel Hooker,The Hangman,2/13/1990,72,145,Saigon Sports Club,Featherweight,Auckland,New Zealand
Marcin Wrzosek,The Polish Zombie,10/14/1987,69,145,Gracie Barra Lodz,Featherweight,Bydgoszcz,Poland
Paul Redmond,Redser,10/20/1986,70,145,Team Ryano MMA,Featherweight,"Dublin, Leinster",Ireland
Robert Whiteford,The Hammer,4/12/1983,69,145,Dinky Ninjas,Featherweight,"Armadale, West Lothian",Scotland
David Velasquez,Little,,65,145,American Kickboxing Academy,Featherweight,"San Jose, California",United States
John Teixeira da Conceicao,Macapa,11/18/1986,67,145,Nova Uniao,Featherweight,"Macapa, Amapa",Brazil
Wagner Campos,Galeto,7/31/1981,66,145,Fight Only,Featherweight,"Pinhais, Parana",Brazil
Marcos Vinicius Borges Pancini,Vina,12/5/1979,69,145,Team Bronx,Featherweight,"Curitiba, Parana",Brazil
Tyler Toner,Thunder,,69,145,Elevation Fight Team,Featherweight,"Aurora, Colorado",United States
John Cofer,The Potter,4/29/1984,69,145,Hardcore Gym,Featherweight,"Athens, Georgia",United States
Yair Rodriguez,Pantera,,71,145,Ragnarok MMA,Featherweight,"Parral, Chihuahua",Mexico
Cesar Arzamendia,Goku,1/31/1991,71,145,Paraguay Combat Team,Featherweight,Asuncion,Paraguay
Josh Clopton,The Gentleman,7/11/1981,67,145,Skrap Pack,Featherweight,"San Francisco, California",United States
Caol Uno,,5/8/1975,67,145,Uno Dojo,Featherweight,"Yokosuka, Kanagawa",Japan
Dennis Siver,,1/13/1979,67,145,Kiboju,Featherweight,Mannheim,Germany
Thiago Tavares,,11/8/1984,67,145,Team Tavares,Featherweight,"Florianopolis, Santa Catarina",Brazil
David Lee,,,71,145,Team Crossface,Featherweight,"London, Greater London",England
Rodrigo Damm,,2/3/1980,67,145,Alliance Jiu-Jitsu,Featherweight,"Sao Paulo, Sao Paulo",Brazil
Per Eklund,,11/12/1980,70,145,Hilti NHB,Featherweight,Stockholm,Sweden
Koji Oishi,,5/31/1977,68,145,PANCRASEism,Featherweight,Tokyo,Japan
Junior Assuncao,,6/24/1981,69,145,Ascension MMA,Featherweight,"Athens, Georgia",Brazil
Shannon Gugerty,,12/30/1981,70,145,Victory MMA,Featherweight,"San Diego, California",United States
Miguel Torres,,1/18/1981,69,145,Tristar Gym,Featherweight,"East Chicago, Indiana",United States
Cub Swanson,,11/2/1983,67,145,Jackson-Wink MMA,Featherweight,"Palm Springs, California",United States
Katsunori Kikuno,,10/30/1981,68,145,Alliance-Square,Featherweight,Kagoshima,Japan
Mike Lullo,,7/24/1979,68,145,,Featherweight,"Schaumburg, Illinois",United States
Mark Eddiva,,2/16/1986,68,145,Lakay MMA,Featherweight,,Philippines
Yui Chul Nam,The Korean Bulldozer,7/16/1981,69,145,,Featherweight,,South Korea
Sean Soriano,,10/6/1989,69,145,Blackzilians,Featherweight,"Miami, Florida",United States
Hatsu Hioki,,7/18/1983,71,145,Alive,Featherweight,"Nagoya, Aichi",Japan
Mike Thomas Brown,,9/8/1975,66,145,American Top Team,Featherweight,"Portland, Maine",United States
Sam Sicilia,,2/1/1986,68,145,Sikjitsu,Featherweight,"Spokane, Washington",United States
Akira Corassani,,8/27/1982,68,145,Renzo Gracie Jiu-Jitsu,Featherweight,Gothenburg,Sweden
Kurt Holobaugh,,,71,145,Gracie United,Featherweight,"Denham Springs, Louisiana",United States
Fredson Paixao,,5/13/1979,70,145,Total Dojo,Featherweight,,England
Issei Tamura,,3/12/1984,65,145,Krazy Bee,Featherweight,"Shinagawa, Tokyo",Japan
Ryan Hall,,2/22/1985,70,145,50,Featherweight,"Arlington, Virginia",United States
Joao Roque,,7/22/1971,66,145,Nova Uniao,Featherweight,"Luanda, Luanda",Angola
Yaotzin Meza,,2/4/1981,69,145,MMA Lab,Featherweight,"Glendale, Arizona",United States
Brendan Loughnane,,,70,145,All Powers Gym,Featherweight,"Manchester, Greater Manchester",England
Niklas Backstrom,,8/22/1989,72,145,Allstars Training Center,Featherweight,Stockholm,Sweden
Per Eklund,,11/12/1980,70,145,Hilti NHB,Featherweight,Stockholm,Sweden
Jeremy Larsen,,3/11/1986,70,145,Arizona Combat Sports,Featherweight,"Phoenix, Arizona",United States
Miguel Torres,,1/18/1981,69,145,Tristar Gym,Featherweight,"East Chicago, Indiana",United States
Kelly Faszholz,,,68,145,Nor-Cal Fighting Alliance,Featherweight,"Santa Rosa, California",United States
Arnold Allen,Almighty,1/17/1994,69,145,BKK Fighters,Featherweight,"Felixstowe, Suffolk",England
Damian Stasiak,Webster,2/20/1990,68,145,United Gym,Featherweight,Lodz,Poland
Alan Omer,,9/14/1988,69,145,Stallion Cage,Featherweight,"Erbil, Kurdistan Region",Iraq
Ironman 238,,,,145,T-Pleasure,Featherweight,,Japan
Alex Torres,Rolo,,70,145,Octagon MMA Colombia,Featherweight,Bogota,Colombia
Kyle Bochniak,Killer B,,69,145,Broadway Jiu-Jitsu,Featherweight,"Boston, Massachusetts",United States
Jason Knight,The Kid,7/14/1992,71,145,,Featherweight,Mississippi,United States
Enrique Barzola,El Fuerte,4/25/1989,67,145,Pitbull Martial Arts Center,Featherweight,"El Agustino, Lima",Peru
Horacio Gutierrez,The Punisher,,70,145,Chicago Fight Team,Featherweight,"Guadalajara, Jalisco",Mexico
Rocky Lee,,4/8/1987,69,145,AKA Thailand,Featherweight,,Taiwan
Humberto Brown Morrison,,11/3/1984,69,145,Alley Cat Fight Team,Featherweight,,Panama
Josh Grispi,The Fluke,10/14/1988,71,146,South Shore Sport Fighting,Featherweight,"Rockland, Massachusetts",United States
Artem Lobov,The Russian Hammer,,69,146,SBG Ireland,Featherweight,Dublin,Ireland
Levan Makashvili,The Hornet,1/7/1989,68,146,Mutant MMA,Featherweight,"Oceanside, New York",United States
Dustin Neace,The Beast,9/12/1986,69,146,Damage Incorporated,Featherweight,"Indianapolis, Indiana",United States
Alex White,The Spartan,10/22/1988,72,146,Team Destruction,Featherweight,"Fredericktown, Missouri",United States
Shane Nelson,Sugar,11/30/1984,69,146,BJ Penn's MMA,Featherweight,"Honolulu, Hawaii",United States
Zubaira Tukhugov,Warrior,1/15/1991,68,146,Tiger Muay Thai,Featherweight,"Grozny, Chechnya",Russia
Ernest Chavez,The Mad Titan,6/27/1983,68,146,Total MMA Studios,Featherweight,"Tustin, California",United States
Estevan Payan,El Terrible,4/3/1982,70,148,Arizona Combat Sports,Lightweight,"Tempe, Arizona",United States
Diego Saraiva,The Octopus,4/23/1982,66,149,Team Octopus,Lightweight,"Atlanta, Georgia",United States
Drew Fickett,Night Rider,12/24/1979,70,151,Team Scrub,Lightweight,"Tucson, Arizona",United States
Dustin Pague,The Disciple,8/5/1987,69,152,Disciple MMA,Lightweight,"Harrisburg, Pennsylvania",United States
Josh Thomson,The Punk,9/21/1978,70,153,American Kickboxing Academy,Lightweight,"San Jose, California",United States
Gilbert Melendez,El Nino,4/12/1982,69,153,Skrap Pack,Lightweight,"Santa Ana, California",United States
Kuniyoshi Hironaka,,6/17/1976,70,153,Master Japan,Lightweight,Yamaguchi,Japan
Jake Lindsey,The Librarian,6/21/1986,71,154,Combative Sports Center,Lightweight,"Manhattan, Kansas",United States
Mitch Clarke,Danger Zone,11/24/1985,70,154,MMA Lab,Lightweight,"Saskatoon, Saskatchewan",Canada
Yoislandy Izquierdo,Cuba,1/9/1984,70,154,Young Tigers,Lightweight,Havana,Cuba
Jorge Gurgel,J.G.,1/25/1977,69,154,Team Jorge Gurgel,Lightweight,"Cincinnati, Ohio",United States
Valmir Lazaro,Bidu,8/15/1985,72,154,Nova Uniao,Lightweight,"Salvador, Bahia",Brazil
Ben Wall,Manimal,3/25/1989,70,154,Gamebred Submission Fighting,Lightweight,"Brisbane, Queensland",Australia
Adriano Martins,,12/16/1982,70,154,Top Life Amazonas,Lightweight,"Manaus, Amazonas",Brazil
Dokonjonosuke Mishima,,4/19/1972,67,154,Cobra Kai MMA Dojo,Lightweight,,Japan
Naoyuki Kotani,,12/8/1981,68,154,Rodeo Style,Lightweight,"Yokohama, Kanagawa",Japan
Kazuki Tokudome,,3/4/1987,71,154,Paraestra Hachioji,Lightweight,Tokyo,Japan
David Branch,,,,154,,Lightweight,,United States
Joey Gilbert,,4/14/1970,65,154,Gilbert Grappling,Lightweight,"Chicago, Illinois",United States
Yusuke Kasuya,,11/16/1989,67,154,Akimoto Dojo Jungle Junction,Lightweight,"Sagamihara, Kanagawa",Japan
Dustin Poirier,The Diamond,1/19/1989,69,155,American Top Team,Lightweight,"Carencro, Louisiana",United States
Joseph Duffy,Irish Joe,2/18/1988,70,155,The MMA Clinic,Lightweight,Donegal,Ireland
Anthony Pettis,Showtime,1/27/1987,69,155,Roufusport,Lightweight,"Milwaukee, Wisconsin",United States
Donald Cerrone,Cowboy,3/29/1983,71,155,Jackson-Wink MMA,Lightweight,"Broomfield, Colorado",United States
Alex Oliveira,Cowboy,2/21/1988,71,155,Tata Fight Team,Lightweight,"Tres Rios, Rio de Janeiro",Brazil
Benson Henderson,Smooth,11/16/1983,69,155,MMA Lab,Lightweight,"Glendale, Arizona",United States
Kamal Shalorus,Prince of Persia,8/27/1977,68,155,Kaizen MMA,Lightweight,"Ahmadabad, Ardabil","Iran, Islamic Republic of"
Jason High,The Kansas City Bandit,10/12/1981,69,155,American Top Team HD,Lightweight,"Kansas City, Missouri",United States
Khabib Nurmagomedov,The Eagle,9/20/1988,70,155,Fightspirit Team,Lightweight,Makhachkala,Russia
Anthony Njokuani,The Assassin,3/1/1980,72,155,Janjira Muay Thai,Lightweight,"Garland, Texas",United States
Steven Ray,Braveheart,3/25/1990,70,155,Higher Level MMA,Lightweight,"Kirkcaldy, Fife",Scotland
Mairbek Taisumov,Beckan,8/8/1988,69,155,Team Taisumov,Lightweight,"Grozny, Chechnya",Russia
Yancy Medeiros,The Kid,9/7/1987,70,155,Team Hakuilua,Lightweight,"Makaha, Hawaii",United States
Danny Castillo,Last Call,8/25/1979,69,155,Team Alpha Male,Lightweight,"Sacaramento, California",United States
Paul Felder,The Irish Dragon,4/25/1985,70,155,Renzo Gracie Philly,Lightweight,"Philadelphia, Pennsylvania",United States
Ross Pearson,The Real Deal,9/26/1984,68,155,Alliance MMA,Lightweight,"Sunderland, Tyne and Wear",England
Daron Cruickshank,The Detroit Superstar,6/11/1985,68,155,Michigan Top Team,Lightweight,"Wayne, Michigan",United States
Matt Wiman,Handsome,9/19/1983,70,155,Skrap Pack,Lightweight,"Tulsa, Oklahoma",United States
Gray Maynard,The Bully,9/5/1979,68,155,American Kickboxing Academy,Lightweight,"Santa Cruz, California",United States
Daniel Pineda,The Pit,8/6/1985,67,155,4oz. Fight Club,Lightweight,"Houston, Texas",United States
Will Chope,The Kill,9/8/1990,76,155,Juggernaut Fight Club,Lightweight,"Sacramento, California",United States
Norman Parke,Stormin,12/22/1986,71,155,Next Generation NI,Lightweight,"Bushmills, Antrim",Northern Ireland
Ivan Jorge,Batman,11/7/1980,70,155,Team Tavares,Lightweight,"Florianopolis, Santa Catarina",Brazil
Abel Trujillo,Killa,9/18/1983,68,155,Blackzilians,Lightweight,"Des Moines, Iowa",United States
Tony Sims,2,10/14/1985,71,155,Elevation Fight Team,Lightweight,"Davenport, Iowa",United States
Curt Warburton,The War,,72,155,NEVT,Lightweight,"Bishop Auckland, County Durham",England
Maciej Jewtuszko,Irokez,1/31/1981,72,155,Berserkers Team,Lightweight,Szczecin,Poland
James Vick,The Texecutioner,2/23/1987,75,155,Team Lloyd Irvin,Lightweight,"Mineral Wells, Texas",United States
Glaico Franca,Nego,2/28/1991,72,155,Astra Fight Team,Lightweight,"Curitibanos, Santa Catarina",Brazil
Bryan Barberena,Bam Bam,5/3/1989,72,155,MMA Lab,Lightweight,"Minneapolis, Minnesota",United States
Olivier Aubin-Mercier,The Quebec Kid,2/23/1989,69,155,H2O MMA,Lightweight,"Boucherville, Quebec",Canada
Myles Jury,Fury,10/31/1988,71,155,Power MMA,Lightweight,"Hazel Park, Michigan",United States
Francisco Trinaldo,Massaranduba,8/24/1978,68,155,Evolucao Thai,Lightweight,"Brasilia, Federal District",Brazil
Kevin Lee,The Motown Phenom,9/4/1992,69,155,Xtreme Couture,Lightweight,"Grand Rapids, Michigan",United States
Reza Madadi,Mad Dog,6/20/1978,71,155,Allstars Training Center,Lightweight,Tehran,"Iran, Islamic Republic of"
Joe Stevenson,Daddy,6/15/1982,67,155,Joe Stevenson's Cobra Kai,Lightweight,"Victorville, California",United States
Melvin Guillard,The Young Assassin,3/30/1983,69,155,American Top Team,Lightweight,"New Orleans, Louisiana",United States
Chris Brennan,The Westside Strangler,10/12/1971,68,155,Next Generation,Lightweight,"Mission Viejo, California",United States
Michael Johnson,The Menace,6/4/1986,70,155,Blackzilians,Lightweight,"Springfield, Missouri",United States
Kurt Pellegrino,Batman,5/7/1979,68,155,Pellegrino MMA,Lightweight,"Point Pleasant, New Jersey",United States
Takanori Gomi,The Fireball Kid,9/22/1978,68,155,Kugayama Rascal,Lightweight,"Tokyo, Kato",Japan
Joe Lauzon,J-Lau,5/22/1984,69,155,Lauzon MMA,Lightweight,"Bridgewater, Massachusetts",United States
Sean Sherk,The Muscle Shark,8/5/1973,66,155,Minnesota Martial Arts Academy,Lightweight,"Minneapolis, Minnesota",United States
Dustin Hazelett,McLovin,4/29/1986,73,155,Team Jorge Gurgel,Lightweight,"Cincinnati, Ohio",United States
Tony Ferguson,El Cucuy,2/12/1984,72,155,Team Death Clutch,Lightweight,"Oxnard, California",United States
Jamie Varner,C-4,12/10/1984,68,155,Arizona Combat Sports,Lightweight,"Phoenix, Arizona",United States
Rich Clementi,No Love,3/31/1976,69,155,Team Voodoo,Lightweight,"Slidell, Lousiana",United States
Piotr Hallmann,Pletwal,8/25/1987,69,155,Mighty Bulls Gdynia,Lightweight,Gdynia,Poland
Pat Healy,Bam Bam,7/20/1983,69,155,Sports Lab,Lightweight,"St. Louis, Missouri",United States
Rafaello Oliveira,Tractor,1/26/1982,68,155,AMA Fight Club,Lightweight,"Whippany, New Jersey",United States
Fabricio Camoes,Morango,12/23/1978,69,155,Gracie Humaita,Lightweight,Rio de Janeiro,Brazil
Mike Ricci,The Martian,3/18/1986,72,155,Tristar Gym,Lightweight,"Montreal, Quebec",Canada
Sam Stout,Hands of Stone,4/23/1984,69,155,Team Tompkins,Lightweight,"London, Ontario",Canada
Brian Cobb,The Bandit,9/3/1980,71,155,Team Pain and Suffering,Lightweight,"Bakersfield, California",United States
Yoshiyuki Yoshida,Zenko,5/10/1974,71,155,Haleo Top Team,Lightweight,Tokyo,Japan
Joe Ellenberger,Excalibur,3/28/1985,68,155,Premier Combat Center,Lightweight,"Omaha, Nebraska",United States
James Moontasri,Moonwalker,4/10/1988,70,155,Black House,Lightweight,"Los Angeles, California",United States
Akbarh Arreola,El Caballero,1/14/1983,70,155,Entram Gym,Lightweight,"Tijuana, Baja California",Mexico
Michael Chiesa,Maverick,12/7/1987,73,155,Sikjitsu,Lightweight,"Spokane, Washington",United States
Jorge Masvidal,Gamebred,11/12/1984,71,155,American Top Team,Lightweight,"Miami, Florida",United States
Bobby Green,King,9/9/1986,70,155,Pinnacle Fighting Systems,Lightweight,"Redlands, California",United States
Johnny Case,Hollywood,6/28/1989,73,155,Power MMA,Lightweight,"Jefferson, Iowa",United States
John Makdessi,The Bull,5/3/1985,68,155,Tristar Gym,Lightweight,"Laval, Quebec",Canada
Michel Richard Cunha dos Prazeres,Trator,7/25/1983,66,155,Coalizao Fight Team,Lightweight,"Belem, Para",Brazil
Jon Tuck,Super Saiyan,8/28/1984,70,155,MMA Lab,Lightweight,Chalan Pago,Guam
Justin Edwards,Fast Eddy,1/26/1983,70,155,Team Jorge Gurgel,Lightweight,"Cincinnati, Ohio",United States
Paul Taylor,Relentless,12/15/1979,72,155,Team Supreme,Lightweight,Walsall,England
Rich Crunkilton,Cleat,11/25/1979,67,155,American Kickboxing Academy,Lightweight,"Fort Lauderdale, Florida",United States
Abner Lloveras,Skullman,9/4/1982,71,155,Gracie Barcelona,Lightweight,Barcelona,Spain
Carlo Prater,Neo,6/25/1981,72,155,Prater MMA,Lightweight,"Brasilia, Federal District",Brazil
Joshua Burkman,The People's Warrior,10/4/1980,70,155,The Pit Elevated Fight Team,Lightweight,"Salt Lake City, Utah",United States
Joshua Burkman,The People's Warrior,10/4/1980,70,155,The Pit Elevated Fight Team,Lightweight,"Salt Lake City, Utah",United States
Diego Sanchez,The Dream,12/31/1981,70,155,Jackson-Wink MMA,Lightweight,"Albuquerque, New Mexico",United States
Yves Edwards,Thugjitsu Master,9/30/1976,70,155,American Top Team,Lightweight,"Woodlands, Texas",United States
Jorge Patino,Macaco,5/8/1973,68,155,Macaco Gold Team,Lightweight,"Houston, Texas",United States
Chris Wilson,The Professor,6/7/1977,73,155,CW Combat Sports,Lightweight,"Ribeirao Preto, Sao Paulo",Brazil
Roger Huerta,El Matador,5/20/1983,69,155,Tiger Muay Thai,Lightweight,"Austin, Texas",United States
Gabe Ruediger,Godzilla,8/29/1977,70,155,PKG,Lightweight,"Rancho Cucamonga, California",United States
Joao Zeferino,The Brazilian Samurai,1/15/1986,71,155,Rangel Farias Team,Lightweight,"Florianopolis, Santa Catarina",Brazil
Charlie Brenneman,The Spaniard,2/9/1981,70,155,AMA Fight Club,Lightweight,"Hollidaysburg, Pennsylvania",United States
Antonio McKee,Mandingo,3/12/1970,68,155,Bodyshop Fitness Team,Lightweight,"Lakewood, California",United States
Gerald Strebendt,The Finishing Machine,3/1/1979,69,155,10th Planet Jiu-Jitsu,Lightweight,"Los Angeles, California",United States
Kajan Johnson,Ragin,4/21/1984,71,155,Tristar Gym,Lightweight,"Burns Lake, British Columbia",Canada
Tony Fryklund,The Freak,3/26/1971,72,155,Militech Fighting Systems,Lightweight,"Boston, Massachusetts",United States
Paul Sass,Sassangle,8/4/1988,73,155,Team Kaobon,Lightweight,Liverpool,England
James Krause,The James Krause,6/4/1986,74,155,Glory MMA and Fitness,Lightweight,"Lee's Summit, Missouri",United States
Luke Caudillo,Lil' Hulk,11/30/1980,67,155,Grudge Training Center,Lightweight,"North Platte, Nebraska",United States
Rashid Magomedov,Highlander,5/14/1984,69,155,Gorec,Lightweight,"Makhachkala, Dagestan",Russia
Roger Bowling,Relentless,12/5/1982,68,155,Team Vision,Lightweight,"Cincinnati, Ohio",United States
Chris Saunders,The So Cal Kid,3/11/1986,68,155,All In MMA,Lightweight,"Buena Park, California",United States
Yosdenis Cedeno,Pink Panther,2/12/1985,68,155,Blackzillians,Lightweight,Havana,Cuba
Justin Salas,J-Bomb,3/13/1982,68,155,Grudge Training Center,Lightweight,"Wheat Ridge, Colorado",United States
Tiago dos Santos e Silva,Trator,4/12/1987,70,155,Team Nogueira,Lightweight,"Almeirim, Para",Brazil
Scott Holtzman,Hot Sauce,9/30/1983,69,155,Shield Systems,Lightweight,"Knoxville, Tennessee",United States
Mike Rio,The Wolverine,7/6/1981,70,155,Zen Jiu-Jitsu,Lightweight,"Miami, Florida",United States
Michael Guymon,The Joker,9/17/1974,72,155,Joker's MMA,Lightweight,"Lake Forest, California",United States
Rustam Khabilov,Tiger,11/4/1986,70,155,Jackson-Wink MMA,Lightweight,"Makhachkala, Republic of Dagestan",Russia
Che Mills,Beautiful,9/29/1982,69,155,Champion's Creed MMA,Lightweight,"Calgary, Alberta",Canada
Pat Audinwood,Awesomely Awesome,4/16/1986,72,155,Team Bombsquad,Lightweight,"Cortland, New York",United States
Francisco Trevino,Sitkayan,12/17/1981,70,155,Macaco Gold Team,Lightweight,"Edinburg, Texas",United States
Marcus LeVesseur,The Prospect,7/17/1983,70,155,Minnesota Fight Factory,Lightweight,"Minneapolis, Minnesota",United States
Genki Sudo,Neo-Samurai,3/8/1978,69,155,Beverly Hills Jiu-Jitsu Club,Lightweight,Tokyo,Japan
Willamy Freire,Chiquerim,7/28/1987,68,155,Dragon Fight,Lightweight,"Fortaleza, Ceara",Brazil
